案件代碼,分區,縣市,計畫名稱,開發單位,核定日期,終期計畫用水量(CMD)
1051013001,南區,高雄市,高雄市立圖書館總館共構會展文創會館興建營運移轉案,台灣人壽保險股份有限公司,105/09/02,399
931001050,南區,嘉義縣,嘉義大埔美智慧型工業區開發計畫（修定本）,嘉義縣政府,105/08/25,20500
1050722001,中區,台中市,2018臺中世界花卉博覽會－臺中市外埔農創園區開發計畫,臺中市政府農業局,105/07/19,302
1050718001,中區,台中市,富安產業園區開發案,大順發企業股份有限公司,105/07/05,553
1050628002,中區,南投縣,埔里地方特色產業微型園區,南投縣政府,105/06/21,527
1050603001,中區,彰化縣,永達實業股份有限公司產能擴充,永達實業股份有限公司,105/05/23,420
1050601001,中區,苗栗縣,變更苗栗縣通霄鎮月稱光明寺宗教園區開發案,財團法人台灣省苗栗縣月稱光明寺,105/05/05,737
1050524001,南區,高雄市,大高雄迪斯奈華城義大廣場開發計畫,義大開發股份有限公司 天悅大酒店股份有限公司,105/05/02,1387
1050418001,北區,新北市,新北市新莊區副都心段一小段15地號旅館新建工程規劃案,宏匯思源股份有限公司,105/03/31,350
1050422002,南區,屏東縣,萬偉股份有限公司用水計畫書,萬偉股份有限公司,105/03/22,603
1050422001,南區,屏東縣,峰榮食品工業股份有限公司屏東廠,峰榮食品工業股份有限公司,105/03/22,540
1050325001,中區,彰化縣,維力食品工業股份有限公司擴增產能用水計畫書,維力食品工業股份有限公司,105/03/09,500
1050129001,北區,新北市,臺北港南外堤內側碼頭區設置自由貿易港區開發計畫,基隆港務分公司,105/01/07,2666
1050604001,南區,屏東縣,保億冷凍食品有限公司屏東廠用水計畫書,保億冷凍食品有限公司屏東廠,104/12/25,691
1050104001,中區,彰化縣,正順紡織企業股份有限公司擴建案,正順紡織企業股份有限公司,104/12/01,910
1050309001,南區,屏東縣,聯夏食品工業股份有限公司屏東廠用水計畫書,聯夏食品工業股份有限公司,104/11/05,676
931001028,離島,金門縣,金門水頭商港整體開發計畫,金門縣政府,104/09/30,780
1040903001,南區,高雄市,夢時代全區(特貿五C及五D)開發案,統正開發股份有限公司,104/08/18,2283
1040826003,南區,嘉義縣,嘉義縣水產精品加值產業園區,嘉義縣政府,104/08/06,771
1040826001,南區,高雄市,高雄市第70期市地重劃區,高雄市政府地政局土地開發處,104/08/04,375
1040728001,南區,屏東縣,農業生物科技園區擴充計畫暨既有園區變更,行政院農業委員會屏東農業生物技術園區籌備處,104/07/15,9593
1040714002,南區,台南市,台南新吉工業區,臺南市政府,104/06/23,1327
1040915001,南區,屏東縣,欣樂食品股份有限公司屠宰場,欣樂食品股份有限公司,104/06/08,914
1040217002,東區,花蓮縣,遠雄海洋公園第四次變更(擴大)開發案,遠雄海洋公園股份有限公司,103/12/31,315
1040119001,北區,桃園市,楊梅仁美產業園區開發計畫案,得勝合興業股份有限公司,103/12/16,301
1031219002,中區,台中市,臺中市泊嵐匯會展中心新建工程,臺中市政府經濟發展局,103/12/11,830
1031113001,中區,台中市,台中市南海觀音寺開發申請案,財團法人台中市南海觀音佛教基金會,103/11/05,383
1031106001,中區,南投縣,新訂清境風景特定區計畫,南投縣政府,103/10/27,868
1031020001,中區,苗栗縣,苗栗縣銅鑼鄉勝暉產業園區開發計畫,勝暉實業有限公司,103/10/06,509
1030926001,南區,高雄市,統一夢時代全區開發計畫,統正開發股份有限公司,103/09/12,660
1030731001,北區,桃園市,東和鋼鐵桃園廠擴增產能計畫,東和鋼鐵企業股份有限公司,103/07/10,3959
1030423001,南區,屏東縣,悠活渡假村開發計畫,悠活渡假事業股份有限公司,103/04/16,502
1030226002,中區,南投縣,南投旺來產業園區開發計畫,南投縣政府,103/01/29,956
1021218001,中區,台中市,神岡豐洲科技工業園區二期申請設置、規劃、開發、租售及管理計畫,台中市政府,102/11/26,766
1021209001,南區,屏東縣,屏東縣六塊厝綠能、節能產業園區開發計畫,屏東縣政府,102/11/13,1140
970219001,中區,雲林縣,雲林科技工業區(竹圍子區),經濟部工業局,102/09/24,30000
1021022001,中區,台中市,潭子聚興產業園區申請設置、規劃、開發、租售及管理計畫,臺中市政府,102/09/16,545
1021205001,中區,台中市,中部科學工業園區台中園區擴建用地(原大肚山彈藥分庫)開發計畫,科技部中部科學工業園區管理局,102/09/06,47000
1020930001,中區,台中市,太平產業園區開發計畫,臺中市政府,102/09/05,306
1020708002,中區,彰化縣,彰化縣大城產業園區(第一期),經濟部,102/06/24,549
1020724001,中區,雲林縣,雲林科技工業區石榴班區開發工程,經濟部工業局,102/06/19,2483
1020708001,中區,南投縣,中臺灣精密科學園區南投基地設置計畫,南投縣政府,102/06/14,2039
1020619001,北區,新北市,新板橋車站特定區(特專二)國際觀光旅館興建營運案,大盟開發股份有限公司,102/05/16,985
1020520002,北區,桃園市,新訂桃園國際機場園區及附近地區特定區計畫,桃園市政府,102/04/09,74080
1020520001,北區,桃園市,桃園縣楊梅市高獅段華新麗華工業園區開發案,華新麗華股份有限公司,102/03/26,3800
1020411001,中區,南投縣,南投埔里福興農場旅館區開發計畫（廬山溫泉易地遷建案）,南投縣政府,102/02/22,916
1020312001,南區,高雄市,海洋文化及流行音樂中心新建工程,文化部,102/02/05,591
1010716002,中區,南投縣,日月潭向山觀光旅館BOT案,仲成大飯店股份有限公司,101/06/15,873
1010524001,北區,台北市,國家生技研究園區開發計畫,中央研究院,101/03/30,844
1010323002,中區,彰化縣,彰化縣二林精密機械產業園區開發計畫,彰化縣政府,101/02/13,8400
1010305002,中區,苗栗縣,台灣農林公司苗栗銅鑼九湖段土地工商綜合區開發案,臺灣農林股份有限公司,101/02/08,328
1001123003,北區,桃園市,亞東石化股份有限公司觀音二廠開發計畫,亞東石化股份有限公司,100/11/15,27340
1001102001,南區,屏東縣,山湖觀高爾夫球場,大源開發股份有限公司,100/09/27,1260
1040604001,南區,高雄市,統上國際藝術村開發計畫,統上開發建設股份有限公司,100/04/25,542
1000322001,南區,台南市,統一夢世界園區整體開發計畫,統樂開發事業股份有限公司,100/01/27,1059
991230001,中區,台中市,國光生物科技股份有限公司台中潭子廠區廠房擴建及毗連土地擴展計畫,國光生物科技股份有限公司,099/12/17,390
