"PlanCode","PlanName","DevelopmentFactory","WaterRequired"
"中國鋼鐵股份有限公司","0981001001","中鋼鋼材物流中心","210"
"世友化工有限公司","0981125001","世友化工有限公司報編工業區可行性規劃報告","23.1"
"高雄縣政府","0981207001","高雄縣岡山工業區開發計畫","9000"
"澗鳴山莊","0990115001","澗鳴山莊","10.03"
"新寶來溫泉渡假村","0990115002","新寶來溫泉渡假村","147.78"
"青山溫泉渡假村","0990115003","青山溫泉渡假村專案輔導合法化開發案 ","120.5"
"柏菲特企業有限公司","0990628001","旭塔觀光旅館開發案","135.3"
"員林鎮公所","0990813001","新訂員林（萬年、新崙雅地區）都市計畫","4381"
"新港鄉公所","0990920001","新訂新港中洋子地區都市計畫","1828"
"內政部營建署新生地開發局","0991006001","花蓮縣鳳林休閒渡假園區開發計畫","2805"
"桃園縣政府","0991007001","航空科學主題公園用地開發計畫","25.14"
"苗栗縣政府","0991027001","苗栗通霄南區海埔地造地開發計畫","6000"
"展茂光電股份有限公司","0991206001","展茂光電新建廠房自來水用水計畫書","4690"
"財團法人中台山佛教基金會","0991216001","南投縣私立普台高級中學整體開發計畫","814"
"行政院國家科學委員會科學工業園區管理局","1000214001","新竹科學工業園區第四期擴建用地(銅鑼基地)","16000"
"寶山鄉明湖自辦農村社區土地重劃區重劃會","1000629001","新竹縣寶山鄉明湖自辦農村社區土地重劃案","87"
"經濟部工業局","1000802001","彰化縣西南角(大城)海埔地工業區工業專用港開發計畫","664"
"員林鎮公所","1010615001","新訂員林（萬年、新崙雅地區）都市計畫","3997"
"高雄縣政府","1011024001","高雄縣興達港遊艇產業專區開發工程","1400"
"高苑科技大學","1011126001","高苑技術學院第二校區開發計畫","418"
"宜蘭縣政府","1011126002","宜蘭海洋生物科技園區","1667"
"苗栗縣政府","1011219001","苗栗縣銅鑼鄉桐花樂活主題公園工程案","67.7"
"李隆廣、陳得水","1011220001","桃園縣龍潭鄉銅鑼圈段67地號等30筆土地丁種建築用地變更編定為丙種建築用地","503"
